pid,block,trial,keypress,rt,ori,stim,fstim,fam,cond,acc,rt_OSF
3,3,37,p,0.889717792000738,2,97,128,0,Novel,1,yes
3,3,38,q,1.0719602909957755,3,7,92,1,Learned,1,yes
3,3,39,q,1.1783511670000737,1,22,16,1,Learned,1,yes
3,3,40,p,2.2840843750018394,3,75,44,0,Novel,1,yes
3,3,41,p,0.7943747089957469,3,73,94,0,Novel,1,yes
3,3,42,p,1.214672291993338,1,79,7,0,Novel,1,yes
3,3,43,p,0.8816975000008824,1,90,119,0,Novel,1,yes
3,3,44,q,0.781901292000839,2,45,113,1,Learned,1,yes
3,3,45,p,1.0020009169966215,1,94,38,1,Learned,0,yes
3,3,46,p,0.8003493330033962,1,142,143,0,Novel,1,yes
3,3,47,q,1.6240762079978597,2,37,22,1,Learned,1,yes
3,3,49,p,2.137816208000004,3,144,28,0,Novel,1,yes
3,3,50,p,0.9598259159974988,1,134,13,0,Novel,1,yes
3,3,51,q,1.1663739579962566,1,128,52,1,Learned,1,yes
3,3,52,p,1.4101560420021997,1,72,148,0,Novel,1,yes
3,3,53,p,0.8003758749982808,3,89,123,0,Novel,1,yes
3,3,54,p,0.7018333340020035,2,87,93,0,Novel,1,yes
3,3,55,q,2.277354750003724,3,118,83,1,Learned,1,yes
3,3,56,p,0.6990603329977603,3,139,77,0,Novel,1,yes
3,3,57,q,1.5853839170013089,2,92,106,1,Learned,1,yes
3,3,58,p,2.2534855409976444,2,81,124,0,Novel,1,yes
3,3,59,p,1.025740750003024,2,80,37,0,Novel,1,yes
3,3,60,p,1.097538458998315,1,138,50,0,Novel,1,yes
4,1,2,q,1.1796295829990413,1,1,28,0,Novel,0,yes
4,1,3,q,1.5516000829957193,2,7,21,1,Learned,1,yes
4,1,4,q,1.7929922499897657,3,28,20,1,Learned,1,yes
4,1,5,p,1.1536529580043862,2,21,9,1,Learned,0,yes
4,1,6,p,1.3909357090014964,2,105,12,0,Novel,1,yes
4,1,7,q,1.8071252499939872,2,19,136,0,Novel,0,yes
4,1,8,q,1.176212583988672,1,110,49,0,Novel,0,yes
4,1,9,p,0.8679777919896878,2,37,43,0,Novel,1,yes
4,1,10,q,0.7688847919926047,1,20,25,1,Learned,1,yes
4,1,11,q,0.7683482090069447,1,9,51,1,Learned,1,yes
4,1,12,p,0.9389600830036215,1,107,53,0,Novel,1,yes
4,1,13,p,0.831032125002821,2,11,71,0,Novel,1,yes
4,1,14,p,0.7693413750093896,1,4,79,0,Novel,1,yes
4,1,15,p,1.1175469169975258,1,33,108,0,Novel,1,yes
4,1,16,p,1.1745262920012465,3,17,10,0,Novel,1,yes
4,1,17,p,1.0679687920055585,2,23,83,0,Novel,1,yes
4,1,18,p,0.957737332995748,3,12,144,1,Learned,0,yes
4,1,19,p,1.0649011670029722,2,136,139,1,Learned,0,yes
4,1,20,q,0.8580335840088082,2,49,13,1,Learned,1,yes
4,1,21,q,0.7927928329881979,3,43,124,1,Learned,1,yes
4,1,22,p,0.8399184589943616,1,106,60,0,Novel,1,yes
4,1,23,q,0.7118475829920499,2,25,146,1,Learned,1,yes
4,1,24,p,0.8902216669957852,2,113,140,0,Novel,1,yes
4,1,25,q,0.9434313749952709,3,14,16,0,Novel,0,yes
4,1,26,p,0.9306045420089504,3,38,27,0,Novel,1,yes
4,1,27,p,1.0203233329957584,1,30,141,0,Novel,1,yes
4,1,28,q,0.6696843749959953,1,51,150,1,Learned,1,yes
4,1,29,p,0.7709368750074646,1,114,57,0,Novel,1,yes
4,1,30,p,1.0347179170057643,1,36,125,0,Novel,1,yes
4,1,31,q,1.044936999998754,1,53,7,1,Learned,1,yes
4,1,32,q,0.9015411249856696,2,26,28,0,Novel,0,yes
4,1,33,p,1.0388909580069594,2,71,21,1,Learned,0,yes
4,1,34,q,1.5564032920083264,1,79,20,1,Learned,1,yes
4,1,35,p,0.9959597919951192,3,108,9,1,Learned,0,yes
4,1,36,p,1.1450934580061585,1,18,12,0,Novel,1,yes
