pid,block,trial,keypress,rt,ori,stim,fam,cond,acc
3,1,39,q,0.7014182499988237,3,8,1,Famous,1
3,1,40,p,0.6457503749988973,3,112,0,New,1
3,1,41,p,0.6035114580008667,2,108,0,New,1
3,1,43,q,0.7558878750023723,3,54,1,Famous,1
3,1,45,p,0.6477377919982246,1,111,0,New,1
3,1,46,p,0.5417907079972792,3,21,0,New,1
3,1,47,q,0.7086977500002831,1,58,1,Famous,1
3,1,48,p,0.5118307500015362,3,92,0,New,1
3,1,49,p,0.6685192080003617,3,17,1,Famous,0
3,1,50,q,0.6652817920003145,2,41,1,Famous,1
3,1,51,p,0.6809081659994263,1,62,0,New,1
3,1,52,p,0.6776071669992234,2,9,0,New,1
3,1,53,p,0.6462475420012197,3,129,0,New,1
3,1,54,q,0.61606541600122,2,32,1,Famous,1
3,1,55,q,0.7113333750021411,2,56,1,Famous,1
3,1,56,p,0.717355332999432,2,42,1,Famous,0
3,1,57,q,0.7650965419998101,3,5,1,Famous,1
3,1,58,p,0.7636221249995288,3,37,1,Famous,0
3,1,59,q,0.6665645829998539,2,23,1,Famous,1
3,1,60,q,0.6662593750006636,1,12,1,Famous,1
3,2,1,p,0.7120389999981853,3,20,0,New,1
3,2,2,p,0.5880287079999107,3,74,0,New,1
3,2,3,q,0.6982007499973406,1,42,1,Famous,1
3,2,4,q,0.6630482500004291,1,5,1,Famous,1
3,2,5,q,0.604859540999314,3,41,1,Famous,1
3,2,6,q,0.6081160419998923,3,48,1,Famous,1
3,2,7,q,0.7150439170000027,1,59,1,Famous,1
3,2,8,q,0.7012296249995416,2,116,0,New,0
3,2,9,q,0.6080119580001337,3,28,1,Famous,1
3,2,10,q,0.6071763329964597,2,17,1,Famous,1
3,2,11,q,0.7963068749995728,3,110,0,New,0
3,2,13,p,0.5503727909999725,2,49,0,New,1
3,2,14,p,0.6521682920028979,3,122,0,New,1
3,2,15,q,0.6192444170010276,3,12,1,Famous,1
3,2,16,p,0.5994977080008539,2,115,0,New,1
3,2,17,q,0.6034977919989615,2,58,1,Famous,1
3,2,18,q,0.6551414999994449,3,36,1,Famous,1
3,2,19,p,0.608216958000412,3,52,0,New,1
3,2,20,q,0.6537658749984985,1,47,1,Famous,1
3,2,21,q,0.5550995000012335,1,54,1,Famous,1
3,2,22,p,0.5673056669984362,3,16,0,New,1
3,2,23,q,0.6093265410017921,1,23,1,Famous,1
3,2,24,p,0.7266252500012342,3,84,0,New,1
3,2,25,q,0.6587532919984369,1,8,1,Famous,1
3,2,26,q,0.6590958329979912,3,52,1,Famous,1
3,2,27,q,0.6152375840028981,3,32,1,Famous,1
3,2,28,q,0.7134023750004417,3,56,1,Famous,1
3,2,29,q,0.638901624999562,2,1,1,Famous,1
3,2,30,q,0.7186639589999686,1,45,1,Famous,1
3,2,31,q,0.6563835829983873,2,31,1,Famous,1
3,2,32,q,0.6614396670011047,1,46,1,Famous,1
3,2,33,p,0.7569060419991729,3,4,1,Famous,0
3,2,34,p,0.7399916670001403,2,45,0,New,1
3,2,35,p,0.7469622079988767,2,132,0,New,1
3,2,36,q,0.6128977920016041,1,34,1,Famous,1
3,2,37,p,0.5599665829977312,3,67,0,New,1
3,2,38,p,0.570314791999408,1,36,0,New,1
3,2,39,p,0.49351404099797946,2,72,0,New,1
3,2,40,p,0.7211545409991231,1,90,0,New,1
3,2,41,q,0.7150837919980404,1,38,1,Famous,1
3,2,42,q,0.6154114579985617,1,3,1,Famous,1
3,2,43,q,0.6681630829989444,3,53,1,Famous,1
3,2,44,q,0.8263471249993017,2,14,1,Famous,1
3,2,45,p,0.5575206249995972,1,95,0,New,1
3,2,46,p,0.693651208999654,3,107,0,New,1
3,2,47,q,0.609472750002169,1,26,1,Famous,1
3,2,48,p,0.6004220830000122,1,136,0,New,1
3,2,49,p,0.5840568329986127,3,97,0,New,1
3,2,50,q,0.665436667000904,1,37,1,Famous,1
3,2,51,q,0.7390755410015117,2,35,1,Famous,1
3,2,52,p,0.47346912499779137,2,73,0,New,1
3,2,53,p,0.5472367080001277,3,126,0,New,1
3,2,54,p,0.5369756250001956,1,17,0,New,1
3,2,55,p,0.45426108299943735,3,33,0,New,1
3,2,56,p,0.4985127920008381,3,42,0,New,1
3,2,57,p,0.5171592910010077,1,79,0,New,1
3,2,58,p,0.44622816600167425,3,77,0,New,1
3,2,59,p,0.5475556249984947,3,143,0,New,1
3,2,60,p,0.5028859580015705,3,30,0,New,1
