Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Corrected vision,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Submission approval rate
6a31580ed0490d0974196c43,6a1d08d5adcf20d7d84305a6,APPROVED,Not Applicable,2026-06-16T14:13:16.957000Z,2026-06-16T14:37:07.081000Z,2026-06-16T14:41:44.525000Z,2026-06-16T14:37:07.455309Z,1431.0,NOCODE,39,I use both glasses and contact lenses,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,100
6a3158104dbf660f8ddcd931,69e847860ae7104bac856107,APPROVED,Not Applicable,2026-06-16T14:05:04.838000Z,2026-06-16T15:27:04.033000Z,2026-06-16T15:27:04.259000Z,2026-06-16T15:27:04.375095Z,4920.0,Manual Completion,455,I use both glasses and contact lenses,English,59,Female,White,Ireland,United Kingdom,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",99
6a315870746014618def9b04,5db4ef4a2986a3000be1f886,APPROVED,Not Applicable,2026-06-16T14:06:43.811000Z,2026-06-16T14:27:53.127000Z,2026-06-16T14:38:07.168000Z,2026-06-16T14:27:53.504097Z,1270.0,CGMK46ZK,11122,I use both glasses and contact lenses,English,59,Female,White,United States,United States,United States,English,No,Full-Time,100
6a31590bc42d9ba37e8dba1e,5bc893a51388c20001920fba,APPROVED,Not Applicable,2026-06-16T14:09:19.261000Z,2026-06-16T14:37:33.437000Z,2026-06-16T14:41:43.248000Z,2026-06-16T14:37:33.790350Z,1695.0,NOCODE,2476,I mainly use glasses,English,36,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,100
6a315a8e777334bde53e7418,66635ce30892c73e41fee639,APPROVED,Not Applicable,2026-06-16T14:15:47.994000Z,2026-06-16T14:33:48.837000Z,2026-06-16T14:38:12.647000Z,2026-06-16T14:33:49.207266Z,1081.0,CGMK46ZK,3758,I do not use glasses or contact lenses,English,38,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,100
6a315b462ab2027683e62000,6a14d347ceae3b8c130e276c,APPROVED,Not Applicable,2026-06-16T14:19:02.135000Z,2026-06-16T14:40:44.273000Z,2026-06-16T14:41:46.978000Z,2026-06-16T14:40:44.621863Z,1303.0,CGMK46ZK,230,I mainly use glasses,English,33,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),100
6a315f55a3822e95f94fe83f,6632fc0b22af8fdf65f98b32,APPROVED,Not Applicable,2026-06-16T14:44:14.249000Z,2026-06-16T15:28:57.270000Z,2026-06-16T15:51:34.340000Z,2026-06-16T15:28:57.789604Z,2684.0,NOCODE,4648,I do not use glasses or contact lenses,"English, French, Italian, Spanish",42,Female,Mixed,United States,United States,United States,English,No,Part-Time,99
6a180aef2d0a7cb560de8ce8,69f0b05142ac90be173f7592,RETURNED,Not Applicable,2026-05-28T09:30:33.555000Z,,,,,,318,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180af52203ae855b4dd11b,66290901c85f767596360dfc,RETURNED,Not Applicable,2026-05-28T09:33:46.961000Z,,,,,,2273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a180b3273da68f63a88fed5,6730f2e20f5915ff4ad2c07d,RETURNED,Not Applicable,2026-05-28T09:30:31.043000Z,,,,,,2588,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
